# dvcd|name
ACQ_DPMJ_NM|취득학과명
ACQ_DTL_DVCD|취득상세구분코드
ACQ_DVCD|취득구분코드
ACQ_GRADE_DVCD|취득성적구분코드
ACQ_INSTI_CD|취득기관코드
ACQ_INSTI_NM|취득기관명
ACQ_MTHD_DVCD|취득방법구분코드
ACQ_NATION_CD|취득국가코드
ACQ_POINT|취득학점
ACQ_PRDC|취득원가
ACQ_SBJT_CNT|취득과목수
ACQ_YMD|취득일자
ACQ_YM|취득년월
ACQ_YN_DVCD|취득여부구분코드
ACQ|취득
ACRU|누계액
ACS_IP|접속IP
ACS_MNGT_SYST_ID|접속관리시스템ID
ACS|접속
ACTA|대응분
ACTC_AREA_SQMT|건축면적제곱미터
ACTC_AREA|건축면적
ACTC_YMD|건축일자
ACTC|건축
ACTION|액션
ACTI_CHARTR_TEXT|행동특성내용
ACTI|행동
ACTN_PLNA_CD|액션플랜코드
ACTN_PLNA_NM|액션플랜명
ACTN|액션
ACTO_APLCNT_ID|출입신청자ID
ACTO_APPL_NO|출입신청번호
ACTO_AUTH_CD|출입권한코드
ACTO_AUTH_NM|출입권한명
ACTO_PLACE|출입장소
ACTO|출입
ACTUAL|실태
ACTUL_BEGIN_YMD|실제시작일자
ACTUL_END_YMD|실제종료일자
ACTUL_FILE_NM|실제파일명
ACTUL_MONS_CNT|실제개월수
ACTUL_PAYT_AMT|실제지급금액
ACTUL_RTSC_SMR|실제복학학기
ACTUL_TRAVL_TERM|실제여행기간
ACTUL_WORK_BEGIN_YMD|실제근무시작일자
ACTUL_WORK_END_YMD|실제근무종료일자
ACTUL|실제
ACTVTY|활성
ACTV_BEGIN_DT|활동시작일시
ACTV_BEGIN_YMD|활동시작일자
ACTV_DVCD|활동구분코드
ACTV_END_DT|활동종료일시
ACTV_END_YMD|활동종료일자
ACTV_EVL|활동평가
ACTV_FIED|활동분야
ACTV_GOAL|활동목표
ACTV_NM|활동명
ACTV_PLACE|활동장소
ACTV_PLAN|활동계획
ACTV_PNT|활동점수
ACTV_SEQ|활동순번
ACTV_TERM|활동기간
ACTV_TERR|활동영역
ACTV_TEXT_ARTC|활동내용항목
ACTV_TEXT|활동내용
ACTV_TIME_ARTC|활동시간항목
ACTV_TIME|활동시간
ACTV_TYPE_DVCD|활동유형구분코드
ACTV_YMD|활동일자
ACTV|활동
ACT_WRKEXP|대응사업비
ACT|대응
ACUM_DRIV_DIST|누적주행거리
ACUM_RESPN_HRS|누적책임시수
ACUM|누적
